,Constituent Services & Community Programs,"Engineering, Architecture, & Planning",Building Operations & Maintenance,Social Services,Legal Affairs
Average Starting Salary,185620.2,193800.0,128906.4,79464.0,200000.0
Average Salary Upto,187446.2,211720.0,141350.0,200046.0,208154.0
Average Salary ,1826.0,17920.0,12443.600000000006,120582.0,8154.0
Posting Type in Percentage,"('External', 50.35)
('Internal', 49.65)","('External', 49.09)
('Internal', 50.91)","('External', 49.63)
('Internal', 50.37)","('External', 49.62)
('Internal', 50.38)","('External', 48.67)
('Internal', 51.33)"
Required Residency In Newyork,"('No', 31.51)
('Yes', 68.49)","('No', 66.25)
('Yes', 33.75)","('No', 6.91)
('Yes', 93.09)","('No', 65.16)
('Yes', 34.84)","('No', 50.76)
('Yes', 49.24)"
Career Level Vacancy In Percentage,"('Entry-Level', 15.09)
('Executive', 0.58)
('Experienced (non-manager)', 72.58)
('Manager', 1.38)
('Student', 10.37)","('Entry-Level', 15.4)
('Executive', 1.5)
('Experienced (non-manager)', 65.18)
('Manager', 10.9)
('Student', 7.01)","('Entry-Level', 64.86)
('Experienced (non-manager)', 32.7)
('Manager', 2.44)","('Entry-Level', 6.27)
('Executive', 0.14)
('Experienced (non-manager)', 91.36)
('Manager', 2.23)","('Entry-Level', 29.42)
('Executive', 1.01)
('Experienced (non-manager)', 61.43)
('Manager', 6.27)
('Student', 1.87)"
Ratio Of Required Qualification,"('baccalaureate degree', 28.69)
(""bachelor's degree"", 0.46)
('certificate', 0.92)
('certification', 1.21)
('diploma', 0.12)
('high school', 16.71)
(""master's degree"", 6.05)
('matriculation', 1.04)
('not specified', 4.15)
('others', 40.67)","('baccalaureate degree', 54.85)
(""bachelor's degree"", 3.38)
('certificate', 0.13)
('high school', 6.14)
(""master's degree"", 7.39)
('matriculation', 1.63)
('others', 26.49)","('baccalaureate degree', 2.57)
(""bachelor's degree"", 2.51)
('certificate', 0.47)
('high school', 75.83)
(""master's degree"", 0.81)
('matriculation', 0.14)
('others', 17.67)","('baccalaureate degree', 58.4)
('high school', 36.86)
(""master's degree"", 3.76)
('others', 0.98)","('baccalaureate degree', 6.34)
(""bachelor's degree"", 22.13)
('certificate', 8.29)
('high school', 25.16)
(""master's degree"", 0.29)
('matriculation', 0.43)
('not specified', 1.66)
('others', 35.69)"
Top 5 Agency Offering Jobs,"('DEPT OF HEALTH/MENTAL HYGIENE', 41.88)
('BRONX DISTRICT ATTORNEY', 16.59)
('DEPT OF ENVIRONMENT PROTECTION', 7.89)
('HRA/DEPT OF SOCIAL SERVICES', 5.99)
('DEPARTMENT OF FINANCE', 4.61)","('DEPT OF ENVIRONMENT PROTECTION', 45.15)
('DEPT OF DESIGN & CONSTRUCTION', 29.3)
('DEPARTMENT OF TRANSPORTATION', 18.35)
('DEPT OF CITYWIDE ADMIN SVCS', 2.38)
('NYC HOUSING AUTHORITY', 1.63)","('NYC HOUSING AUTHORITY', 66.35)
('DEPT OF ENVIRONMENT PROTECTION', 14.15)
('DEPARTMENT OF TRANSPORTATION', 5.15)
('DEPT OF CITYWIDE ADMIN SVCS', 4.47)
('POLICE DEPARTMENT', 2.71)","('HRA/DEPT OF SOCIAL SERVICES', 66.2)
(""ADMIN FOR CHILDREN'S SVCS"", 28.5)
('DEPT. OF HOMELESS SERVICES', 3.62)
('DEPARTMENT OF CORRECTION', 0.7)
('DISTRICT ATTORNEY KINGS COUNTY', 0.42)","('BRONX DISTRICT ATTORNEY', 49.17)
('LAW DEPARTMENT', 12.83)
('DISTRICT ATTORNEY-MANHATTAN', 7.21)
('DEPARTMENT OF CORRECTION', 3.89)
('OFFICE OF THE COMPTROLLER', 2.96)"
